Total time to construct inverted index: 15.814880609512329 seconds.
Size of inverted index: 
unique terms indexed: 13352
average postings list length: 6.995206710605153 postings
total unique positional indicies: 93400

*********************
Token: bart
Found in 104 documents
docID: 5.20 @ position 765
docID: 5.20 @ position 820
docID: 5.20 @ position 829
docID: 5.21 @ position 73
docID: 5.21 @ position 95
docID: 5.21 @ position 111
docID: 5.21 @ position 143
docID: 5.21 @ position 638
docID: 5.21 @ position 760
docID: 5.21 @ position 809
docID: 5.22 @ position 107
docID: 5.22 @ position 123
docID: 5.22 @ position 222
docID: 5.22 @ position 254
docID: 6.1 @ position 31
docID: 6.1 @ position 67
docID: 6.1 @ position 79
docID: 6.1 @ position 90
docID: 6.1 @ position 121
docID: 6.1 @ position 144
docID: 6.1 @ position 156
docID: 6.1 @ position 219
docID: 6.1 @ position 243
docID: 6.1 @ position 279
docID: 6.1 @ position 304
docID: 6.1 @ position 340
docID: 6.1 @ position 346
docID: 6.1 @ position 539
docID: 6.1 @ position 663
docID: 6.1 @ position 695
docID: 6.1 @ position 757
docID: 6.1 @ position 929
docID: 6.2 @ position 115
docID: 6.2 @ position 316
docID: 6.2 @ position 345
docID: 6.2 @ position 766
docID: 6.3 @ position 303
docID: 6.3 @ position 311
docID: 6.3 @ position 409
docID: 6.3 @ position 486
docID: 6.4 @ position 48
docID: 6.4 @ position 56
docID: 6.4 @ position 77
docID: 6.4 @ position 104
docID: 6.4 @ position 517
docID: 6.4 @ position 668
docID: 6.5 @ position 91
docID: 6.5 @ position 143
docID: 6.5 @ position 216
docID: 6.6 @ position 24
docID: 6.6 @ position 68
docID: 6.6 @ position 154
docID: 6.6 @ position 410
docID: 6.6 @ position 421
docID: 6.6 @ position 445
docID: 6.6 @ position 452
docID: 6.6 @ position 492
docID: 6.7 @ position 4
docID: 6.7 @ position 20
docID: 6.7 @ position 32
docID: 6.7 @ position 42
docID: 6.7 @ position 50
docID: 6.7 @ position 61
docID: 6.7 @ position 72
docID: 6.7 @ position 95
docID: 6.7 @ position 101
docID: 6.7 @ position 111
docID: 6.7 @ position 122
docID: 6.7 @ position 160
docID: 6.7 @ position 166
docID: 6.7 @ position 179
docID: 6.7 @ position 193
docID: 6.7 @ position 215
docID: 6.7 @ position 307
docID: 6.7 @ position 323
docID: 6.7 @ position 454
docID: 6.7 @ position 491
docID: 6.7 @ position 602
docID: 6.7 @ position 619
docID: 6.7 @ position 652
docID: 6.7 @ position 659
docID: 6.7 @ position 684
docID: 6.7 @ position 742
docID: 6.7 @ position 757
docID: 6.7 @ position 783
docID: 6.7 @ position 801
docID: 6.7 @ position 853
docID: 6.7 @ position 916
docID: 6.7 @ position 932
docID: 6.7 @ position 936
docID: 6.7 @ position 973
docID: 6.8 @ position 46
docID: 6.8 @ position 59
docID: 6.8 @ position 128
docID: 6.8 @ position 286
docID: 6.8 @ position 401
docID: 6.8 @ position 566
docID: 6.8 @ position 715
docID: 6.9 @ position 12
docID: 6.9 @ position 390
docID: 6.10 @ position 139
docID: 6.10 @ position 183
docID: 6.10 @ position 348
docID: 6.10 @ position 358
docID: 6.14 @ position 1
docID: 6.14 @ position 23
docID: 6.14 @ position 587
docID: 6.14 @ position 605
docID: 6.16 @ position 1
docID: 6.16 @ position 22
docID: 6.16 @ position 51
docID: 6.16 @ position 65
docID: 6.16 @ position 77
docID: 6.16 @ position 97
docID: 6.16 @ position 116
docID: 6.16 @ position 120
docID: 6.16 @ position 144
docID: 6.16 @ position 154
docID: 6.16 @ position 168
docID: 6.16 @ position 176
docID: 6.16 @ position 190
docID: 6.16 @ position 213
docID: 6.16 @ position 221
docID: 6.16 @ position 237
docID: 6.16 @ position 271
docID: 6.16 @ position 276
docID: 6.16 @ position 312
docID: 6.16 @ position 450
docID: 6.16 @ position 574
docID: 6.16 @ position 603
docID: 6.16 @ position 663
docID: 6.16 @ position 748
docID: 6.16 @ position 817
docID: 6.16 @ position 856
docID: 6.16 @ position 1162
docID: 6.17 @ position 115
docID: 6.17 @ position 134
docID: 6.17 @ position 148
docID: 6.17 @ position 160
docID: 6.17 @ position 170
docID: 6.17 @ position 214
docID: 6.17 @ position 270
docID: 6.17 @ position 350
docID: 6.17 @ position 686
docID: 6.18 @ position 435
docID: 6.18 @ position 441
